date,game_pk,player_id,player_name_x,team,opponent,home_away,lineup_spot,lineup_confirmed,start_rate,exp_pa,batter_hand,pitcher_hand,platoon_advantage,platoon_or_away,pitcher_features_known,pitcher_low_sample,p_model,hot_streak,hot_streak_avg,recommended_units,opp_grind,opp_consec_games,fair_american,player_name_y,book,over_price,under_price,fetched_at,edge,filter_e_pass,first_pitch_et,outcome,hits_actual,pnl,pnl_weighted
2026-05-02,822988,671218,Heliot Ramos,SF,TB,A,7,True,,4.0,R,R,0,1,1,0,0.7475728155339806,0,0.2916666666666667,1.0,0,2,-296,Heliot Ramos,draftkings,-179,134,2026-05-02T22:03:20.064485+00:00,0.1652112599663719,True,6:10 PM ET,hit,1,0.5586592178770949,0.5586592178770949
2026-05-02,822988,676439,Hunter Feduccia,TB,SF,H,8,True,,3.85,L,R,1,1,1,0,0.5793991416309013,0,0.25,1.0,0,3,-138,Hunter Feduccia,draftkings,-101,-132,2026-05-02T22:03:20.064485+00:00,0.1530616580971402,True,6:10 PM ET,hit,1,0.9900990099009901,0.9900990099009901
2026-05-02,824284,696030,Alejandro Osuna,TEX,DET,A,6,True,,4.1,L,R,1,1,1,0,0.7560975609756098,0,0.3,1.0,0,5,-310,Alejandro Osuna,draftkings,-117,-114,2026-05-02T22:03:20.064485+00:00,0.402334792578695,True,7:15 PM ET,miss,0,-1.0,-1.0
2026-05-02,823067,690976,Alex Freeland,LAD,STL,A,9,True,,3.8,L,R,1,1,1,0,0.7565938206480783,1,0.3333333333333333,2.0,0,9,-311,Alex Freeland,draftkings,-136,102,2026-05-02T22:03:20.064485+00:00,0.3129128064187242,True,7:15 PM ET,hit,1,0.7352941176470589,1.4705882352941178
2026-05-02,823067,571970,Max Muncy,LAD,STL,A,6,True,,4.1,L,R,1,1,1,0,0.8418079096045198,1,0.3333333333333333,2.0,0,9,-532,Max Muncy,draftkings,-188,141,2026-05-02T22:03:20.064485+00:00,0.289578074287775,True,7:15 PM ET,hit,2,0.5319148936170213,1.0638297872340425
2026-05-02,823067,687363,Victor Scott II,STL,LAD,H,9,True,,3.75,L,R,1,1,1,0,0.6666666666666666,0,0.0952380952380952,1.0,0,2,-200,Victor Scott II,draftkings,-124,-107,2026-05-02T22:03:20.064485+00:00,0.2043010752688171,True,7:15 PM ET,miss,0,-1.0,-1.0
2026-05-02,823067,808975,Hyeseong Kim,LAD,STL,A,8,True,,3.9,L,R,1,1,1,0,0.7565938206480783,1,0.3333333333333333,2.0,0,9,-311,Hyeseong Kim,draftkings,-170,127,2026-05-02T22:03:20.064485+00:00,0.201649009264595,True,7:15 PM ET,miss,0,-1.0,-2.0
2026-05-02,824284,690993,Colt Keith,DET,TEX,H,3,True,,4.35,L,R,1,1,1,0,0.7565938206480783,1,0.3684210526315789,2.0,0,2,-311,Colt Keith,draftkings,-184,138,2026-05-02T22:03:20.064485+00:00,0.1677861144785556,True,7:15 PM ET,hit,1,0.5434782608695652,1.0869565217391304
2026-05-02,823067,671056,Iván Herrera,STL,LAD,H,2,True,,4.45,R,R,0,0,1,0,0.8075040783034257,1,0.3333333333333333,2.0,0,2,-419,Ivan Herrera,draftkings,-229,170,2026-05-02T22:03:20.064485+00:00,0.1601259465581968,True,7:15 PM ET,hit,1,0.4366812227074236,0.8733624454148472
2026-05-02,823067,663656,Kyle Tucker,LAD,STL,A,4,True,,4.3,L,R,1,1,1,0,0.8075040783034257,0,0.1904761904761904,1.0,0,9,-419,Kyle Tucker,draftkings,-233,173,2026-05-02T22:03:20.064485+00:00,0.1540723522533938,True,7:15 PM ET,hit,1,0.4291845493562232,0.4291845493562232
2026-05-02,824284,669701,Josh Smith,TEX,DET,A,8,True,,3.9,L,R,1,1,1,0,0.6679160419790104,0,0.1875,1.0,0,5,-201,Josh Smith,draftkings,-141,107,2026-05-02T22:03:20.064485+00:00,0.1416153625315001,True,7:15 PM ET,hit,2,0.7092198581560284,0.7092198581560284
2026-05-02,824284,694497,Evan Carter,TEX,DET,A,1,True,,4.6,L,R,1,1,1,0,0.746268656716418,0,0.0,1.0,0,5,-294,Evan Carter,draftkings,-202,151,2026-05-02T22:03:20.064485+00:00,0.1157085857839516,True,7:15 PM ET,miss,0,-1.0,-1.0
